id_sensor	id_plot	position_sensor	datetime	month	month_num	date	time	t_hobo
59-32-a	59_32	a	2023-09-02T14:00:00Z	September	9	2023-09-02	14:00:00	20.138
59-32-a	59_32	a	2023-09-30T11:00:00Z	September	9	2023-09-30	11:00:00	14.517
59-32-a	59_32	a	2023-09-30T12:00:00Z	September	9	2023-09-30	12:00:00	15.378
59-32-a	59_32	a	2023-09-30T13:00:00Z	September	9	2023-09-30	13:00:00	15.855
59-32-a	59_32	a	2023-09-30T14:00:00Z	September	9	2023-09-30	14:00:00	15.951
59-32-a	59_32	a	2023-09-30T15:00:00Z	September	9	2023-09-30	15:00:00	15.76
59-32-a	59_32	a	2023-09-29T00:00:00Z	September	9	2023-09-29	00:00:00	15.091
59-32-a	59_32	a	2023-09-29T06:00:00Z	September	9	2023-09-29	06:00:00	16.618
59-32-a	59_32	a	2023-09-29T09:00:00Z	September	9	2023-09-29	09:00:00	17.665
59-32-a	59_32	a	2023-09-29T11:00:00Z	September	9	2023-09-29	11:00:00	17.76
59-32-a	59_32	a	2023-09-25T15:00:00Z	September	9	2023-09-25	15:00:00	17.379
59-32-a	59_32	a	2023-09-25T16:00:00Z	September	9	2023-09-25	16:00:00	16.999
59-32-a	59_32	a	2023-09-18T01:00:00Z	September	9	2023-09-18	01:00:00	17.855
59-32-a	59_32	a	2023-09-23T07:00:00Z	September	9	2023-09-23	07:00:00	9.965
59-32-a	59_32	a	2023-09-21T03:00:00Z	September	9	2023-09-21	03:00:00	16.999
59-32-a	59_32	a	2023-09-20T01:00:00Z	September	9	2023-09-20	01:00:00	15.187
59-32-a	59_32	a	2023-09-20T03:00:00Z	September	9	2023-09-20	03:00:00	14.709
59-32-a	59_32	a	2023-09-22T09:00:00Z	September	9	2023-09-22	09:00:00	12.69
59-32-a	59_32	a	2023-09-22T10:00:00Z	September	9	2023-09-22	10:00:00	13.173
59-32-a	59_32	a	2023-09-22T11:00:00Z	September	9	2023-09-22	11:00:00	13.269
59-32-a	59_32	a	2023-09-22T13:00:00Z	September	9	2023-09-22	13:00:00	13.558
59-32-a	59_32	a	2023-09-03T09:00:00Z	September	9	2023-09-03	09:00:00	17.95
59-32-a	59_32	a	2023-09-03T10:00:00Z	September	9	2023-09-03	10:00:00	18.996
59-32-a	59_32	a	2023-09-03T12:00:00Z	September	9	2023-09-03	12:00:00	20.71
59-32-a	59_32	a	2023-09-03T13:00:00Z	September	9	2023-09-03	13:00:00	20.901
59-32-a	59_32	a	2023-09-03T14:00:00Z	September	9	2023-09-03	14:00:00	20.901
59-32-a	59_32	a	2023-09-30T09:00:00Z	September	9	2023-09-30	09:00:00	12.013
59-32-a	59_32	a	2023-09-30T16:00:00Z	September	9	2023-09-30	16:00:00	15.569
59-32-a	59_32	a	2023-09-02T22:00:00Z	September	9	2023-09-02	22:00:00	16.618
59-32-a	59_32	a	2023-09-02T23:00:00Z	September	9	2023-09-02	23:00:00	16.523
59-32-a	59_32	a	2023-09-30T19:00:00Z	September	9	2023-09-30	19:00:00	12.883
59-32-a	59_32	a	2023-09-30T23:00:00Z	September	9	2023-09-30	23:00:00	12.304
59-32-a	59_32	a	2023-09-29T01:00:00Z	September	9	2023-09-29	01:00:00	15.282
59-32-a	59_32	a	2023-09-29T04:00:00Z	September	9	2023-09-29	04:00:00	16.141
59-32-a	59_32	a	2023-09-29T05:00:00Z	September	9	2023-09-29	05:00:00	16.046
59-32-a	59_32	a	2023-09-29T08:00:00Z	September	9	2023-09-29	08:00:00	17.475
59-32-a	59_32	a	2023-09-29T12:00:00Z	September	9	2023-09-29	12:00:00	17.76
59-32-a	59_32	a	2023-09-29T14:00:00Z	September	9	2023-09-29	14:00:00	16.523
59-32-a	59_32	a	2023-09-29T17:00:00Z	September	9	2023-09-29	17:00:00	16.141
59-32-a	59_32	a	2023-09-29T18:00:00Z	September	9	2023-09-29	18:00:00	15.282
59-32-a	59_32	a	2023-09-12T22:00:00Z	September	9	2023-09-12	22:00:00	17.76
59-32-a	59_32	a	2023-09-18T04:00:00Z	September	9	2023-09-18	04:00:00	17.379
59-32-a	59_32	a	2023-09-22T14:00:00Z	September	9	2023-09-22	14:00:00	12.11
59-32-a	59_32	a	2023-09-22T15:00:00Z	September	9	2023-09-22	15:00:00	12.304
59-32-a	59_32	a	2023-09-25T14:00:00Z	September	9	2023-09-25	14:00:00	17.475
59-32-a	59_32	a	2023-09-25T17:00:00Z	September	9	2023-09-25	17:00:00	16.427
59-32-a	59_32	a	2023-09-18T02:00:00Z	September	9	2023-09-18	02:00:00	17.665
59-32-a	59_32	a	2023-09-18T03:00:00Z	September	9	2023-09-18	03:00:00	17.57
59-32-a	59_32	a	2023-09-25T20:00:00Z	September	9	2023-09-25	20:00:00	14.421
59-32-a	59_32	a	2023-09-21T04:00:00Z	September	9	2023-09-21	04:00:00	16.141
59-32-a	59_32	a	2023-09-21T05:00:00Z	September	9	2023-09-21	05:00:00	16.046
59-32-a	59_32	a	2023-09-22T12:00:00Z	September	9	2023-09-22	12:00:00	13.365
59-32-a	59_32	a	2023-09-22T16:00:00Z	September	9	2023-09-22	16:00:00	11.819
